county,fips,year,ozonePersonDayMon,ozoneDayStdMon,ozoneDayStdMod,ozoneAvgMod,ozoneModelFlag,pm25AvgMon,pm25PersonDayMon,pm25PctMon,pm25AvgMod,pm25ModelFlag,hasMonitor,hasOzoneMonitor,hasPm25Monitor,
"Aitkin","27001","2017","No data available","No data available","null","34","null","No data available","No data available","No data available","5.5","null","n","n","n"
"Anoka","27003","2017","0","0","null","35","null","7.4","0","0","7.9","null","y","y","y"
"Becker","27005","2017","0","0","null","34","null","5.1","0","0","6.2","null","y","y","y"
"Beltrami","27007","2017","No data available","No data available","null","34","null","5.7","0","0","6.7","null","y","n","y"
"Benton","27009","2017","No data available","No data available","null","34","null","No data available","No data available","No data available","6.5","null","n","n","n"
"Big Stone","27011","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","6.4","null","n","n","n"
"Blue Earth","27013","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","7.4","null","n","n","n"
"Brown","27015","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","6.8","null","n","n","n"
"Carlton","27017","2017","0","0","null","33","null","4.5","0","0","5.0","null","y","y","y"
"Carver","27019","2017","No data available","No data available","null","35","null","No data available","No data available","No data available","7.3","null","n","n","n"
"Cass","27021","2017","No data available","No data available","null","34","null","No data available","No data available","No data available","5.9","null","n","n","n"
"Chippewa","27023","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","6.2","null","n","n","n"
"Chisago","27025","2017","No data available","No data available","null","34","null","No data available","No data available","No data available","6.9","null","n","n","n"
"Clay","27027","2017","No data available","No data available","null","34","null","No data available","No data available","No data available","7.6","null","n","n","n"
"Clearwater","27029","2017","No data available","No data available","null","34","null","No data available","No data available","No data available","6.0","null","n","n","n"
"Cook","27031","2017","No data available","No data available","null","34","null","4.7","0","0","4.6","null","y","n","y"
"Cottonwood","27033","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","6.5","null","n","n","n"
"Crow Wing","27035","2017","0","0","null","34","null","5.4","0","0","6.0","null","y","y","y"
"Dakota","27037","2017","No data available","No data available","null","35","null","No data available","No data available","No data available","7.8","null","n","n","n"
"Dodge","27039","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","7.3","null","n","n","n"
"Douglas","27041","2017","No data available","No data available","null","35","null","No data available","No data available","No data available","6.2","null","n","n","n"
"Faribault","27043","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","7.1","null","n","n","n"
"Fillmore","27045","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","7.2","null","n","n","n"
"Freeborn","27047","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","7.3","null","n","n","n"
"Goodhue","27049","2017","0","0","null","36","null","No data available","No data available","No data available","7.3","null","y","y","n"
"Grant","27051","2017","No data available","No data available","null","35","null","No data available","No data available","No data available","6.3","null","n","n","n"
"Hennepin","27053","2017","0","0","null","35","null","7.7","0","0","8.0","null","y","y","y"
"Houston","27055","2017","No data available","No data available","null","36","null","No data available","No data available","No data available","7.1","null","n","n","n"
"Hubbard","27057","2017","No data available","No data available","null","34","null","No data available","No data available","No data available","6.1","null","n","n","n"
"Isanti","27059","2017","No data available","No data available","null","34","null","No data available","No data available","No data available","6.7","null","n","n","n"
